#options: 1916x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:92 out:93 type:b dur:2 cpbdur:2 q:43.22 aq:42.29 tex:12954 mv:22233 misc:6661 imb:433 pmb:2108 smb:5619 d:s ref:0 ;
in:95 out:94 type:P dur:2 cpbdur:2 q:43.29 aq:39.33 tex:60697 mv:43407 misc:6744 imb:2764 pmb:2457 smb:2939 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:43.29 aq:42.56 tex:11026 mv:20952 misc:6374 imb:349 pmb:1898 smb:5913 d:s ref:0 ;
in:97 out:96 type:P dur:2 cpbdur:2 q:43.36 aq:39.66 tex:75583 mv:43706 misc:6359 imb:2650 pmb:2608 smb:2902 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:43.37 aq:43.62 tex:12878 mv:21854 misc:6340 imb:408 pmb:1947 smb:5805 d:t ref:0 ;
in:99 out:98 type:P dur:2 cpbdur:2 q:43.50 aq:39.79 tex:67589 mv:42622 misc:6661 imb:2643 pmb:2559 smb:2958 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:43.50 aq:43.91 tex:11464 mv:20812 misc:6260 imb:332 pmb:1894 smb:5934 d:t ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:43.67 aq:40.28 tex:74104 mv:42807 misc:6433 imb:2357 pmb:2754 smb:3049 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:43.67 aq:44.33 tex:11820 mv:21282 misc:6586 imb:331 pmb:2084 smb:5745 d:t ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:43.96 aq:40.67 tex:58100 mv:39085 misc:6775 imb:2085 pmb:2509 smb:3566 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:43.96 aq:45.22 tex:10641 mv:19341 misc:6194 imb:267 pmb:1900 smb:5993 d:t ref:0 ;
in:105 out:104 type:P dur:2 cpbdur:2 q:44.40 aq:41.32 tex:75415 mv:43912 misc:6401 imb:2394 pmb:2775 smb:2991 d:s ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:44.40 aq:45.91 tex:12878 mv:20954 misc:6480 imb:305 pmb:2104 smb:5751 d:t ref:0 ;
in:107 out:106 type:P dur:2 cpbdur:2 q:44.79 aq:41.87 tex:62157 mv:40595 misc:6824 imb:2052 pmb:2771 smb:3337 d:s ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:44.80 aq:46.50 tex:10902 mv:19143 misc:6259 imb:256 pmb:1934 smb:5970 d:t ref:0 ;
in:109 out:108 type:P dur:2 cpbdur:2 q:44.83 aq:42.24 tex:72213 mv:41579 misc:6456 imb:2037 pmb:2860 smb:3263 d:s ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:44.83 aq:46.64 tex:13315 mv:19919 misc:6662 imb:227 pmb:2237 smb:5696 d:t ref:0 ;
in:111 out:110 type:P dur:2 cpbdur:2 q:45.16 aq:42.36 tex:55392 mv:39512 misc:6872 imb:1931 pmb:2694 smb:3535 d:s ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:45.16 aq:46.86 tex:11413 mv:18296 misc:6403 imb:208 pmb:1998 smb:5954 d:t ref:0 ;
in:113 out:112 type:P dur:2 cpbdur:2 q:45.49 aq:42.99 tex:62634 mv:40253 misc:6881 imb:1935 pmb:2880 smb:3345 d:t ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:45.50 aq:47.28 tex:12364 mv:17795 misc:6225 imb:256 pmb:1914 smb:5990 d:t ref:0 ;
in:115 out:114 type:P dur:2 cpbdur:2 q:45.75 aq:43.92 tex:49583 mv:36178 misc:7031 imb:1767 pmb:2571 smb:3822 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:45.81 aq:47.49 tex:10569 mv:15920 misc:5919 imb:196 pmb:1797 smb:6167 d:t ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:45.57 aq:42.65 tex:61253 mv:33745 misc:7386 imb:1624 pmb:2863 smb:3673 d:s ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:45.90 aq:43.80 tex:48203 mv:35457 misc:7212 imb:1581 pmb:2631 smb:3948 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:45.90 aq:48.10 tex:11048 mv:15592 misc:5704 imb:174 pmb:1733 smb:6253 d:t ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:45.82 aq:43.66 tex:54224 mv:37338 misc:6926 imb:1828 pmb:2615 smb:3717 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:45.93 aq:47.56 tex:10409 mv:15387 misc:5252 imb:242 pmb:1533 smb:6385 d:t ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:46.02 aq:44.54 tex:38987 mv:31684 misc:7457 imb:1389 pmb:2404 smb:4367 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:46.03 aq:48.24 tex:10488 mv:13534 misc:5282 imb:148 pmb:1589 smb:6423 d:t ref:0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:45.29 aq:46.01 tex:38591 mv:29477 misc:7228 imb:1517 pmb:2128 smb:4515 d:t ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:46.03 aq:47.83 tex:7047 mv:8120 misc:4305 imb:128 pmb:1145 smb:6887 d:s ref:0 ;
in:125 out:125 type:I dur:2 cpbdur:2 q:41.74 aq:37.99 tex:391262 mv:166067 misc:279 imb:8160 pmb:0 smb:0 d:t ref:;
in:128 out:126 type:P dur:2 cpbdur:2 q:44.34 aq:40.63 tex:14635 mv:22779 misc:7002 imb:423 pmb:2148 smb:5589 d:t ref:0 ;
in:126 out:127 type:B dur:2 cpbdur:2 q:44.34 aq:45.65 tex:686 mv:921 misc:1073 imb:10 pmb:119 smb:8031 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:44.34 aq:46.05 tex:1215 mv:4145 misc:2296 imb:6 pmb:430 smb:7724 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:44.17 aq:40.65 tex:27594 mv:27591 misc:7503 imb:535 pmb:2809 smb:4816 d:t ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:44.34 aq:46.64 tex:1455 mv:1248 misc:1609 imb:10 pmb:227 smb:7923 d:s ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:44.11 aq:40.62 tex:27690 mv:27396 misc:7474 imb:634 pmb:2619 smb:4907 d:t ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:44.17 aq:46.14 tex:1985 mv:1764 misc:1763 imb:24 pmb:278 smb:7858 d:s ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:43.94 aq:40.58 tex:32558 mv:30419 misc:7695 imb:577 pmb:3102 smb:4481 d:t ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:44.11 aq:46.63 tex:2448 mv:2091 misc:2133 imb:31 pmb:365 smb:7764 d:s ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:43.74 aq:40.69 tex:42264 mv:32948 misc:7612 imb:676 pmb:3397 smb:4087 d:t ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:43.93 aq:46.01 tex:2642 mv:2518 misc:2288 imb:41 pmb:399 smb:7720 d:s ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:43.86 aq:40.53 tex:49648 mv:34446 misc:7498 imb:749 pmb:3572 smb:3839 d:t ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:44.00 aq:46.12 tex:3095 mv:2598 misc:2267 imb:40 pmb:415 smb:7705 d:s ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:43.75 aq:40.31 tex:41866 mv:32258 misc:7684 imb:739 pmb:3236 smb:4185 d:t ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:43.96 aq:46.10 tex:3346 mv:3823 misc:2703 imb:47 pmb:523 smb:7590 d:s ref:0 ;
in:142 out:141 type:P dur:2 cpbdur:2 q:43.94 aq:40.50 tex:46137 mv:33542 misc:7769 imb:800 pmb:3354 smb:4006 d:t ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:44.07 aq:45.75 tex:2936 mv:3194 misc:2502 imb:31 pmb:471 smb:7658 d:s ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:43.95 aq:40.76 tex:41564 mv:31162 misc:7530 imb:832 pmb:3018 smb:4310 d:t ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:43.99 aq:46.37 tex:3157 mv:3394 misc:2553 imb:37 pmb:509 smb:7614 d:s ref:0 ;
